model_pair,name,description,model,perplexity,rouge1,rouge2,rougeL,bert_precision,bert_recall,bert_f1,rts_reasoning_sample,gemba_score,geval_diagnostic_accuracy,geval_treatment_completeness,geval_patient_safety,rts_score,bias_detected,geval_mean,geval_clinical_relevance,bias_score,geval_clinical_coherence,clinical_msk_score,mean_latency_ms,p50_latency_ms,p95_latency_ms
mistral_tiny,A4_kd_guidance_rl,KD + RL + dynamic ranks + teacher KD guidance (no agreement reward),A4_kd_guidance_rl,22.74474637,0.145040806,0.026560342,0.081174748,0.774828911,0.704857945,0.738003075,"# MSK Physiotherapy Clinical Case Study Evaluation

## Dimension-by-Dimension Analysis

---

### 1. CLINICAL REASONING (Presentation → Diagnosis)

**Assessment: Poor**

- The case identifies ""chronic Achilles tendinopathy"" as the diagnosis, which is *stated* rather than *derived* through clinical reasoning
- The presentation describes activity-related pain and stiffness over 12 months, which is broadly consistent with Achilles tendinopathy
- However, there is **no differential diagnosis consideration** (e.g., ruling out Achilles tendon rupture, retrocalcaneal bursitis, plantaris pathology, sur",0.28,0.16,0.278,0.1,0.08,0,0.1,0.14,0,0.2,0.2852,863.4909473,861.735653,868.388092
mistral_tiny,A5_full_pipeline,Full method: KD + hybrid KD+RL + dynamic ranks + agreement reward,A5_full_pipeline,48.12405864,0.134257646,0.027508241,0.076697017,0.779023468,0.699378848,0.736689448,"# MSK Physiotherapy Case Study Evaluation

## Clinical Analysis

---

### 1. CLINICAL REASONING
**Presentation → Diagnosis Logic**

The case study presents a 35-year-old male with post-surgical Achilles tendon pain (12 months post-op), which is clinically relevant. However, the reasoning is severely compromised by:
- **Repetitive, circular text** that adds no diagnostic value
- No differential diagnosis considered (e.g., re-rupture, insertional vs. mid-portion tendinopathy, scar tissue adhesion, nerve entrapment)
- No mechanism of injury or surgical context provided
- Bilateral symptoms mentio",0.16,0.092,0.192,0.04,0.04,0,0.26,0.12,0,0.1,0.278,861.2511746,860.113444,864.4611031
qwen_3b_0.5b,A0_teacher_baseline,Fine-tuned teacher only — no distillation or refinement,A0_teacher_baseline,10.774271,0.170977063,0.033482972,0.084493053,0.767208457,0.724403977,0.745127976,"# Clinical Case Study Evaluation: Achilles Tendon Injury

## Dimension 1: CLINICAL REASONING

**Presentation → Diagnosis Analysis:**

The clinical picture presents several **contradictory and confusing elements**:

- Patient ""cannot point her toes"" yet can ""walk on tiptoes"" — these findings are **mutually contradictory**. Walking on tiptoes requires active plantarflexion, which would be impossible if toe pointing is absent
- The mechanism (soccer, sudden sharp pain) is consistent with Achilles pathology, but the severity progression is poorly reasoned
- If a **complete Achilles tendon rupture*",0.32,0.1,0.24,0.26,0.16,0,0,0.216,0.38,0.14,0.3345,2223.069022,2219.389688,2250.83869
qwen_3b_0.5b,A1_distill_only,Distillation only — no Phase 3 refinement,A1_distill_only,3.375312979,0.189357913,0.044001141,0.090721043,0.789298415,0.745326698,0.766605794,"# MSK Physiotherapy Clinical Case Study Evaluation

## Dimension-by-Dimension Analysis

---

### 1. CLINICAL REASONING – Presentation → Diagnosis

**Strengths:**
- The gradual onset over 3 months with increasing intensity is consistent with tendinopathy development
- Aggravating factors (stairs, running, jumping, prolonged standing) are anatomically plausible for Achilles tendon loading
- Relevant comorbidities are acknowledged (rheumatoid arthritis, oral steroid use, prior rupture)

**Weaknesses:**
- The description contains anatomical inconsistencies — ""inside edge of the ankle where it atta",0.356,0.12,0.12,0.46,0.1,0,0.264,0.38,0,0.24,0.3374,634.0250425,633.7296405,635.3450919
qwen_3b_0.5b,A2_rl_task_accuracy,KD + RL with task accuracy reward (no teacher agreement),A2_rl_task_accuracy,7.78308404,0.189487578,0.041623958,0.091512539,0.780813098,0.740033746,0.759799063,"I'll systematically evaluate this case study across all four dimensions.

---

## 1. CLINICAL REASONING

**Logic from Presentation → Diagnosis: POOR**

- The title states ""Anterior Achilles Tendonitis"" — this is anatomically contradictory. Achilles tendinopathy affects the **posterior** heel/tendon, not the anterior ankle
- The case incorrectly attributes Achilles tendonitis to **peroneal muscle** overstraining — the Achilles tendon is the combined tendon of gastrocnemius/soleus, not the peroneals
- Pain is described at the ""**front of the ankle**"" — this is inconsistent with Achilles patholog",0.204,0.1,0.06,0.46,0.3,0,0.216,0.28,0,0.18,0.3261,856.047437,856.5230744,858.383252
qwen_3b_0.5b,A3_dynamic_ranks_no_rl,"KD + dynamic LoRA ranks, no RL",A3_dynamic_ranks_no_rl,2.934110441,0.17395215,0.034223727,0.081521752,0.778982997,0.736997128,0.757361054,"# MSK Physiotherapy Clinical Case Analysis: Achilles Tendinopathy

---

## 1. CLINICAL REASONING – Presentation → Diagnosis

**Strengths:**
- Age group (32 years) is broadly consistent with active adult presentation
- Gradual onset over months is classic for tendinopathy versus acute rupture
- Activity-related pain worsening with running is consistent with load-dependent tendinopathy
- Soccer 4x/week represents high repetitive loading — a recognised causative mechanism

**Weaknesses:**
- The introduction states prevalence in ""18-30 year olds"" yet the patient is 32 — a minor inconsistency that ",0.324,0.14,0.1,0.4,0.3,0.2,0.232,0.3,0.2,0.22,0.3228,855.6330173,855.467729,856.6102388
qwen_3b_0.5b,A4_kd_guidance_rl,KD + RL + dynamic ranks + teacher KD guidance (no agreement reward),A4_kd_guidance_rl,3.085196818,0.184164578,0.040631576,0.084735891,0.775329173,0.736672461,0.755401373,"# MSK Physiotherapy Clinical Case Evaluation: Achilles Tendinopathy

## Dimension-by-Dimension Analysis

---

### 1. CLINICAL REASONING (Presentation → Diagnosis)

**Evaluation:**
The case introduces a 30-year-old female with a 6-month history of Achilles-related symptoms, including morning pain on rising and pain ascending stairs — both clinically recognisable features of Achilles tendinopathy. However, the clinical reasoning chain is **severely incomplete**:

- The case study is **abruptly truncated** mid-sentence (""Over the..."")
- No differential diagnosis is considered (e.g., retrocalcanea",0.23,0.06,0.06,0.32,0.14,0,0.168,0.24,0,0.16,0.2871,857.61443,857.5617275,858.4925039
qwen_3b_0.5b,A5_full_pipeline,Full method: KD + hybrid KD+RL + dynamic ranks + agreement reward,A5_full_pipeline,3.068126909,0.187497361,0.041751363,0.086906679,0.784665763,0.740746021,0.761970162,"# MSK Physiotherapy Case Study Evaluation

## Dimension-by-Dimension Analysis

---

### 1. CLINICAL REASONING – Presentation → Diagnosis Logic

**Major Concerns:**
- The diagnosis of ""Achilles Tendonitis"" is **outdated terminology**; current evidence-based nomenclature uses **Achilles Tendinopathy** (Cook & Purdam, 2009)
- The clinical reasoning is **superficial and incomplete** — no differentiation between insertional vs. mid-portion tendinopathy, no consideration of partial rupture, retrocalcaneal bursitis, or Haglund's deformity
- The statement that it ""will heal itself within 6-8 weeks"" is",0.346,0.12,0.16,0.52,0.18,0,0.292,0.4,0,0.26,0.3566,856.9317832,856.8704824,858.3691079
qwq_qwen1.5b,A5_full_pipeline,Full method: KD + hybrid KD+RL + dynamic ranks + agreement reward,A5_full_pipeline,7.404296002,0.186310528,0.030854844,0.085778394,0.773535788,0.731752276,0.751878381,"# MSK Physiotherapy Clinical Case Study Evaluation

## Dimension 1: CLINICAL REASONING

**Presentation → Diagnosis Analysis:**

The clinical reasoning chain has **partial soundness** but contains notable gaps:

**Strengths:**
- Mechanism of injury (uphill running) is a classic precipitating factor for Achilles tendinopathy, demonstrating plausible causation
- Morning stiffness resolving by midday is pathognomonic for tendinopathy (Victorian Institute of Sport Assessment criteria)
- Pain with load-bearing activities (stairs, uphill walking) is consistent with the diagnosis
- Athletic background",0,0.1,0.1,0.14,0,0.318,0.3,0.26,0.204,0.22,0.3095,1135.634549,1134.4737,1139.801145
qwq_qwen1.5b ,A0_teacher_baseline,Fine-tuned teacher only — no distillation or refinement,A0_teacher_baseline,8.05849898,0.171250017,0.037665213,0.08492927,0.774006963,0.738926589,0.755874515,"# Expert MSK Physiotherapy Evaluation: Achilles Tendonitis Case Study

---

## Dimension-by-Dimension Analysis

### 1. CLINICAL REASONING – Presentation → Diagnosis

**Strengths:**
- The gradual onset narrative is consistent with tendinopathy pathology
- Correct identification of midportion Achilles involvement (vs. insertional)
- The classic ""pain worse at rest/morning, improves with warm-up"" pattern is accurately described — this is the hallmark **'warm-up phenomenon'** of tendinopathy
- Age (38), occupation (sedentary + weekend sport), and activity profile are appropriate risk factors for r",0.486,0.272,0.3,0.5,0.1,0.22,0,0,0.24,0.32,0.4132,2857.24196,2856.888976,2862.419588
qwq_qwen1.5b ,A1_distill_only,Distillation only — no Phase 3 refinement,A1_distill_only,9.713056991,0.177592733,0.032243553,0.08147686,0.76673764,0.727668226,0.746638477,"# MSK Physiotherapy Clinical Case Evaluation: Achilles Tendon

---

## 1. CLINICAL REASONING – Presentation → Diagnosis

### Analysis:
The clinical reasoning chain presents **several inconsistencies and red flags**:

**Mechanism of Injury Concerns:**
- Landing backwards onto the foot during a tackle is an atypical mechanism for a pure Achilles tendon injury
- Classic Achilles tendon rupture mechanism involves **eccentric loading** (push-off, sudden dorsiflexion), not a direct landing
- The audible ""pop"" is consistent with Achilles rupture, but the ability to walk (even with difficulty) creates",0.336,0.172,0.18,0.28,0.08,0.12,0,0,0.2,0.1,0.3045,1141.236458,1140.685141,1146.341032
qwq_qwen1.5b ,A2_rl_task_accuracy,KD + RL with task accuracy reward (no teacher agreement),A2_rl_task_accuracy,93.02758378,0.180491152,0.03061829,0.085152331,0.774167061,0.734252691,0.753621817,"# MSK Physiotherapy Clinical Case Evaluation: Achilles Tendinopathy

---

## 1. CLINICAL REASONING – Presentation → Diagnosis

### Strengths
- The MRI finding of **partial thickening with mild inflammation** is consistent with **insertional Achilles tendinopathy** or early **paratendinopathy**
- Crepitus on palpation is a recognised clinical feature
- Appropriate ruling out of fracture via X-ray is noted

### Significant Concerns
- **""Acute onset over a few days""** in an 18-year-old without trauma is **atypical** for Achilles tendinopathy, which classically has an insidious onset
- **No loadin",0.406,0.276,0.32,0.42,0.08,0.2,0,0,0.36,0.24,0.3777,1105.631373,1103.133026,1115.660071
qwq_qwen1.5b ,A3_dynamic_ranks_no_rl,"KD + dynamic LoRA ranks, no RL",A3_dynamic_ranks_no_rl,11.29075764,0.188856615,0.030500211,0.083747986,0.77449584,0.732036293,0.752575755,"# MSK Physiotherapy Clinical Case Study Evaluation

## Dimension 1: CLINICAL REASONING

**Analysis of Presentation → Diagnosis Logic:**

The case presents a 30-year-old female with posterior heel/Achilles pain, but there is a **significant diagnostic inconsistency**. The stated condition is ""Achilles Tendon"" pathology, yet the case simultaneously references **heel spurs and plantar fasciitis** — which are anatomically and mechanically distinct conditions (plantar fascia = plantar surface; Achilles tendon = posterior).

- The symptom of **morning pain/stiffness upon first steps** is consistent ",0.38,0.236,0.28,0.34,0.1,0.16,0,0,0.3,0.16,0.3449,1105.333677,1103.575079,1109.320622
qwq_qwen1.5b ,A4_kd_guidance_rl,KD + RL + dynamic ranks + teacher KD guidance (no agreement reward),A4_kd_guidance_rl,7.686728544,0.195070775,0.038956011,0.091447435,0.780412376,0.738012433,0.758571267,"# MSK Physiotherapy Clinical Case Study Evaluation

## Achilles Tendon – 32-Year-Old Male Post-Marathon

---

## 1. CLINICAL REASONING

**Presentation → Diagnosis Pathway Analysis:**

**Strengths:**
- The mechanism of injury (high-load repetitive running, first marathon) is consistent with Achilles pathology
- The symptom description of sudden ""knife-stabbing"" pain with loss of power is a classic red flag presentation
- Localisation to the Achilles insertion is appropriately documented

**Significant Weaknesses:**
- **No formal diagnosis is ever stated.** The case strongly implies Achilles ten",0.338,0.164,0.16,0.28,0.06,0.1,0.1,0,0.22,0.2,0.3264,1105.952421,1105.191493,1110.108709
smollm2,A1_distill_only,Distillation only — no Phase 3 refinement,A1_distill_only,13.84347719,0.109547478,0.020105513,0.062650671,0.760415316,0.646212935,0.697123289,"# MSK Physiotherapy Clinical Case Study Evaluation

## Dimension-by-Dimension Analysis

---

### 1. CLINICAL REASONING
**Assessment: Very Poor**

The case study demonstrates severely deficient clinical reasoning. There is:
- No clear diagnostic pathway from presentation to diagnosis
- No differential diagnosis considered (mid-portion vs insertional tendinopathy, partial rupture, etc.)
- No biomechanical reasoning connecting the Achilles tendon pathology to the lower back complaint
- No consideration of contributing factors relevant to a professional footballer (training load, surface, footwear",0.088,0.04,0.02,0.08,0.04,0,0.048,0.06,0,0.04,0.1877,766.5036462,766.409478,767.1668345
smollm2,A2_rl_task_accuracy,KD + RL with task accuracy reward (no teacher agreement),A2_rl_task_accuracy,40.90517116,0.163832684,0.035885273,0.09153245,0.781941295,0.713553131,0.746046424,"I'll systematically evaluate this case study across each clinical dimension.

---

## 1. CLINICAL REASONING

**Presentation → Diagnosis Logic:**
- The case presents ankle spasm, heel pain, Achilles tendon pain, decreased performance, and reduced ROM — these are plausible Achilles tendon-related symptoms
- However, the diagnostic reasoning is **superficial and incomplete**: no differential diagnosis is explored (Achilles tendinopathy vs. tendinosis vs. partial tear vs. insertional vs. mid-portion)
- The case **conflates ankle sprain pathology with Achilles tendon pathology** — these are distinc",0.21,0.08,0.08,0.24,0.1,0,0.136,0.16,0,0.12,0.2649,1056.695219,1056.678361,1058.858727
smollm2,A3_dynamic_ranks_no_rl,"KD + dynamic LoRA ranks, no RL",A3_dynamic_ranks_no_rl,13.84567333,0.163293881,0.033536971,0.08762256,0.776263595,0.706409812,0.738817871,"# MSK Physiotherapy Clinical Case Evaluation: John – Achilles Tendon

---

## DIMENSION 1: CLINICAL REASONING

### Presentation → Diagnosis Analysis

**Significant Concerns:**

- The presentation describes **""sudden onset of severe pain""** with **""sharp, shooting pain starting on the inside of the right ankle moving up the leg""** — this clinical picture is **atypical for Achilles tendinopathy** and is more consistent with:
  - **Acute Achilles tendon rupture**
  - **Posterior tibial tendon dysfunction** (pain on the *medial* aspect)
  - **Tarsal tunnel syndrome**
  - **Deep vein thrombosis**

",0.262,0.1,0.08,0.2,0.14,0,0.148,0.2,0,0.16,0.287,1059.090408,1059.128928,1061.254275
smollm2,A4_kd_guidance_rl,KD + RL + dynamic ranks + teacher KD guidance (no agreement reward),A4_kd_guidance_rl,13.60313348,0.11462563,0.024690258,0.062666849,0.779106438,0.661521316,0.713053405,"# MSK Physiotherapy Clinical Case Evaluation: Achilles Tendon

---

## 1. CLINICAL REASONING

**Analysis:**
The clinical reasoning presented contains several significant inconsistencies and errors:

- The case states pain is ""just below the heel bone,"" which anatomically describes the **insertional Achilles tendon** region, yet the broader presentation is inconsistent and vague
- A **knee brace** is mentioned as a prior intervention for Achilles tendon pain — this is anatomically illogical and clinically nonsensical; a knee brace has no relevance to Achilles pathology
- The patient describes p",0.078,0.02,0,0.06,0.06,0,0.04,0.06,0,0.06,0.1904,1054.778045,1054.950585,1057.925991
smollm2,A5_full_pipeline,Full method: KD + hybrid KD+RL + dynamic ranks + agreement reward,A5_full_pipeline,13.70613312,0.167527705,0.033803018,0.091875768,0.771122932,0.711067617,0.739670336,"# MSK Physiotherapy Clinical Case Study Evaluation

## Condition vs. Presentation Mismatch — Preliminary Observation

Before reasoning through each dimension, a critical observation must be noted: **The case study is labelled as an ""Achilles Tendon"" condition, yet the patient presents with pain in the ANTERIOR aspect of the ankle** — this is anatomically inconsistent. Achilles tendon pathology presents posteriorly. Anterior ankle pain more likely suggests anterior ankle impingement, tibialis anterior tendinopathy, or sequelae from previous ankle sprains/fractures.

---

## 1. CLINICAL REASONIN",0.184,0.06,0.04,0.2,0.2,0,0.1,0.12,0,0.08,0.2681,1061.999949,1061.869507,1063.956624
