model,name,description,model,perplexity,rouge1,rouge2,rougeL,bert_precision,bert_recall,bert_f1,rts_reasoning_sample,geval_treatment_completeness,bias_detected,rts_score,geval_diagnostic_accuracy,gemba_score,bias_score,geval_mean,geval_clinical_coherence,geval_clinical_relevance,geval_patient_safety,clinical_msk_score,mean_latency_ms,p50_latency_ms,p95_latency_ms
medgemma_text,A3_dynamic_ranks_no_rl,"KD + dynamic LoRA ranks, no RL",A3_dynamic_ranks_no_rl,5.910706734,0.156862914,0.034865372,0.080525745,0.772856414,0.727659345,0.74950093,"# MSK Physiotherapy Clinical Case Study Evaluation

## Achilles Tendonitis – Case Analysis

---

## Preliminary Observation

Before proceeding with dimensional analysis, it is critical to note that this case study is **essentially a blank template**. All patient characteristic fields, examination findings, treatment details, and outcome measures are **unpopulated**. The document contains only headers/labels with no clinical content. Additionally, the template shows significant structural disorganization with repetitive ""Self-Management Education"" fields (appearing ~25+ times), suggesting docum",0,0.12,0.1,0.08,0.124,0.212,0.12,0.14,0.16,0,0.262,1910.119456,1908.905911,1922.69439
medgemma_text,A4_kd_guidance_rl,KD + RL + dynamic ranks + teacher KD guidance (no agreement reward),A4_kd_guidance_rl,6.237269196,0.172600334,0.035958486,0.08917811,0.76949805,0.720680058,0.744137049,"# MSK Physiotherapy Clinical Case Study Evaluation

## Achilles Tendon Case Analysis

---

## 1. CLINICAL REASONING

**Evaluation:**
The case presents a 35-year-old male construction worker with a 2-month history of right Achilles tendon pain, morning stiffness, and activity-related pain (running/walking). The occupational context (construction work = repetitive loading, prolonged standing) is clinically relevant and partially supports the diagnosis of Achilles tendinopathy/tendinitis.

**Strengths:**
- Age and occupation align with typical presentation
- Morning stiffness is a classic tendino",0,0.22,0.12,0.08,0.152,0.296,0.12,0.14,0.2,0,0.2937,1916.083418,1914.42552,1924.450998
medgemma_text,A5_full_pipeline,Full method: KD + hybrid KD+RL + dynamic ranks + agreement reward,A5_full_pipeline,6.081798651,0.170641082,0.036854897,0.085946961,0.77330333,0.731342018,0.751591563,"# Clinical Case Study Evaluation: Achilles Tendon Injury

---

## 1. CLINICAL REASONING

**Presentation → Diagnosis Analysis:**

The clinical reasoning demonstrates **partial soundness** but has notable gaps:

**Strengths:**
- Age (45M) is appropriate for insertional Achilles tendinopathy demographics
- Symptom location (posterior heel/calcaneal insertion) correctly identified
- Activity-related pain with recreational loading (hiking, golf) is consistent
- Morning stiffness is a hallmark tendinopathy feature
- Progressive worsening trajectory is clinically plausible

**Weaknesses:**
- The ""cat",0.14,0.36,0.28,0.22,0.1,0.12,0,0,0.224,0.386,0.3314,1895.386815,1894.285827,1899.136531
medgemma_text,A6_fixed_rank_lora,Full method with fixed uniform LoRA rank (r=16) — isolates benefit of dynamic rank allocation,A6_fixed_rank_lora,6.11372748,0.176914352,0.033955495,0.086852235,0.766433358,0.715854287,0.740181565,"# MSK Physiotherapy Clinical Case Evaluation: Achilles Tendinopathy

---

## 1. CLINICAL REASONING

**Strengths:**
- The link between sudden return to full-time running after inactivity and Achilles tendinopathy is clinically sound and well-supported by evidence
- Localization to the **insertional** site (calcaneal insertion) is correctly identified and distinguished implicitly from mid-portion tendinopathy
- Symptom profile is appropriate: morning stiffness, burning pain, aggravation with uphill walking and hard surfaces are classic presentations
- Noted bony enlargement (likely Haglund's def",0.18,0.32,0.26,0.2,0.16,0.1,0,0,0.212,0.438,0.3512,1901.7512,1901.709403,1906.20506
gemma3,A2_rl_task_accuracy,KD + RL with task accuracy reward (no teacher agreement),A2_rl_task_accuracy,15.88236978,0.170632351,0.037375748,0.095718115,0.773344398,0.716052055,0.743308842,"# MSK Physiotherapy Case Study Evaluation

## Dimension-by-Dimension Analysis

---

### 1. CLINICAL REASONING (Presentation → Diagnosis)

The clinical reasoning is severely flawed and incoherent. Multiple contradictions are present:
- The patient is simultaneously described as **68 years old** and **30 years old**
- He has **both** a ""3-month history"" and ""15-month history"" of Achilles tendinitis with no reconciliation
- Comorbidities listed (chronic cough, low blood pressure **and** hypertension simultaneously) are contradictory and clinically irrelevant without explanation of their impact on",0.02,0,0.06,0.12,0.124,0,0.08,0.04,0.076,0.12,0.2202,1006.976894,1004.957623,1018.464268
gemma3,A3_dynamic_ranks_no_rl,"KD + dynamic LoRA ranks, no RL",A3_dynamic_ranks_no_rl,13.47485554,0.171289008,0.037884094,0.097976202,0.769528687,0.705165267,0.735620618,"# MSK Physiotherapy Case Study Evaluation

## Dimensional Analysis

### 1. CLINICAL REASONING
The case study demonstrates **critically poor clinical reasoning**. There is no patient presentation described, no symptom history, no mechanism of injury, and no diagnostic pathway outlined. The text contains no logical progression from presentation to diagnosis whatsoever. The description of the Achilles tendon as ""small"" and ""curved"" is anatomically inaccurate — it is the largest and strongest tendon in the body. There is no differential diagnosis, no clinical hypothesis, and no reasoning chain of ",0,0,0.04,0.04,0.064,0,0.02,0.02,0.016,0,0.1849,1011.087184,1009.195428,1016.956967
gemma3,A4_kd_guidance_rl,KD + RL + dynamic ranks + teacher KD guidance (no agreement reward),A4_kd_guidance_rl,16.20911938,0.181814875,0.039345833,0.100417978,0.781967819,0.716421008,0.74752003,"# MSK Physiotherapy Clinical Case Study Evaluation

## Preliminary Observations

Before reasoning through each dimension, I must note several **fundamental anatomical errors** in this case study that immediately undermine its clinical credibility:

- The Achilles tendon does **not** run from the heel to the patella — it runs from the **gastrocnemius/soleus complex to the calcaneus (heel bone)**
- The patella does **not** ""support the tibia"" — it is a sesamoid bone within the quadriceps mechanism
- The case is **incomplete**, cutting off mid-sentence: *""His history includes a...""*

---

## Dime",0.02,0,0.1,0.1,0.098,0,0.04,0,0.044,0.06,0.215,1005.654731,1004.297001,1007.007507
gemma3,A5_full_pipeline,Full method: KD + hybrid KD+RL + dynamic ranks + agreement reward,A5_full_pipeline,16.10645858,0.174791957,0.040585373,0.096693622,0.785982847,0.716048121,0.749178827,"# MSK Physiotherapy Clinical Case Study Evaluation

## Achilles Tendon Case Analysis

---

## 1. CLINICAL REASONING
**Is the logic from presentation → diagnosis sound?**

**Major Issues Identified:**

- **Critical anatomical error:** The case study describes the Achilles tendon as *""a major nerve that connects the heel to the tibia""* — the Achilles tendon is a **tendon** (connective tissue), not a nerve. This is a fundamental anatomical inaccuracy that undermines all clinical credibility.
- **Diagnostic contradiction:** The patient is labeled with *""Acute Achilles Tendon Disease""* yet the intr",0,0,0.08,0.08,0.09,0,0.02,0,0.028,0.04,0.205,1007.359201,1007.75064,1014.022981
gemma3,A6_fixed_rank_lora,Full method with fixed uniform LoRA rank (r=16) — isolates benefit of dynamic rank allocation,A6_fixed_rank_lora,16.14727114,0.179429878,0.038894907,0.100872342,0.775085151,0.716728389,0.744689941,"# MSK Physiotherapy Clinical Case Study Evaluation

## Achilles Tendon Case Analysis

---

## 1. CLINICAL REASONING

**Evaluation: Very Poor**

The clinical reasoning is fundamentally flawed and internally inconsistent:

- The patient is described as 68 years old but was ""diagnosed with Achilles tendon injury at age 12"" — this creates a **56-year gap** with no clinical narrative bridging this history
- A fall in 2012 is mentioned, but the patient was supposedly ""discharged from hospital at age 25"" — the timeline is **mathematically and logically incoherent**
- No mechanism of injury is clearly",0.02,0,0.1,0.1,0.1,0,0.06,0.02,0.052,0.06,0.217,1010.352707,1009.172121,1012.910785
mistral_tiny,A0_teacher_baseline,Fine-tuned teacher only — no distillation or refinement,A0_teacher_baseline,4895.637586,0.18368573,0.044713601,0.096518822,0.791384518,0.731709719,0.760151982,"# Clinical Case Study Evaluation: Nicole – Achilles Tendon

---

## 1. CLINICAL REASONING

**Presentation → Diagnosis Logic:**

The case presents several **significant clinical reasoning errors** that must be flagged:

- **Thompson Test misinterpretation**: The Thompson test (calf squeeze test) is the gold standard for diagnosing **Achilles tendon RUPTURE**, not Achilles tendinopathy/tendinitis. A *positive* Thompson test indicates loss of plantar flexion, suggesting a **complete rupture** — a serious finding that would contraindicate continued running training entirely.
- There is an **intern",0,0.172,0.406,0.06,0,0.16,0.14,0.1,0.3,0.2,0.3262,1673.528579,1670.620174,1678.267712
mistral_tiny,A1_distill_only,Distillation only — no Phase 3 refinement,A1_distill_only,33.06589672,0.134342991,0.02164654,0.07412611,0.762171566,0.703625083,0.731572151,"# MSK Physiotherapy Case Study Evaluation

## Achilles Tendon Injury – Critical Analysis

---

## 1. CLINICAL REASONING
**Logic from Presentation → Diagnosis**

- The case identifies a 45-year-old male post-motorcycle accident with right ankle pain and stiffness – this is a plausible mechanism for Achilles tendon injury
- However, **no diagnostic reasoning is documented**. There is no mention of whether this is a rupture, tendinopathy, or partial tear
- The link between the motorcycle accident mechanism and Achilles tendon pathology is **not explained or justified**
- No differential diagnoses",0.2,0.148,0.258,0.12,0.2,0.2,0.1,0.1,0.2,0.12,0.2477,960.2549801,960.0285796,963.3501662
mistral_tiny,A2_rl_task_accuracy,KD + RL with task accuracy reward (no teacher agreement),A2_rl_task_accuracy,87.59116081,0.144870351,0.027579677,0.076789336,0.772159934,0.704732597,0.736664891,"# MSK Physiotherapy Case Study Evaluation

## Dimension-by-Dimension Analysis

---

### 1. CLINICAL REASONING – Presentation → Diagnosis Logic

**Evaluation:**
The case study presents a 31-year-old active female with Achilles tendon pain and stiffness, referred by her GP. There is a brief mention of initial misdiagnosis consideration (plantar fasciitis), which demonstrates some differential diagnostic awareness. However, the clinical reasoning is **severely underdeveloped**:

- No description of onset mechanism (overuse, sudden load increase, biomechanical factors)
- No differentiation between",0,0.112,0.182,0.02,0,0.12,0.08,0.1,0.22,0.12,0.2485,862.2251807,862.4183675,863.6606504
mistral_tiny,A3_dynamic_ranks_no_rl,"KD + dynamic LoRA ranks, no RL",A3_dynamic_ranks_no_rl,10.15977705,0.143344698,0.030768418,0.07547203,0.780626655,0.714637458,0.745875657,"# MSK Physiotherapy Clinical Case Study Evaluation

## Dimension-by-Dimension Analysis

---

### 1. CLINICAL REASONING – Presentation → Diagnosis

**Evaluation:**
The case presents some relevant clinical features (chronic Achilles pain >1 year, activity-related worsening, pain on uneven surfaces), which are consistent with **Achilles tendinopathy**. However, the clinical reasoning is critically deficient:

- No differential diagnosis is offered (insertional vs. mid-portion tendinopathy not distinguished)
- No mention of rupture risk assessment, Haglund's deformity, or bursitis
- The comorbidit",0,0.116,0.252,0.06,0,0.14,0.08,0.1,0.18,0.12,0.2687,870.8577111,854.4765795,938.4424093
mistral_tiny,A4_kd_guidance_rl,KD + RL + dynamic ranks + teacher KD guidance (no agreement reward),A4_kd_guidance_rl,21.88152988,0.152739916,0.030326063,0.084231096,0.774503589,0.712337375,0.741991043,"# MSK Physiotherapy Case Study Evaluation

## Dimension-by-Dimension Analysis

---

### 1. CLINICAL REASONING
**Rating: Very Poor**

The case study provides virtually no clinical reasoning pathway. There is:
- No presenting complaint or mechanism of injury described
- No differential diagnosis considered
- No diagnostic reasoning connecting symptoms to a specific Achilles tendon pathology (e.g., mid-portion tendinopathy vs. insertional tendinopathy vs. acute rupture)
- No mention of aggravating/easing factors, onset, or duration
- The 24-year-old patient demographic is noted but not contextual",0,0.084,0.23,0.04,0,0.1,0.04,0.1,0.14,0.1,0.2553,856.6596806,856.0523649,859.0209612
mistral_tiny,A5_full_pipeline,Full method: KD + hybrid KD+RL + dynamic ranks + agreement reward,A5_full_pipeline,41.91148312,0.159439353,0.033344181,0.0855753,0.774058163,0.707590818,0.739228308,"# MSK Physiotherapy Case Study Evaluation

## Dimension-by-Dimension Analysis

---

### 1. CLINICAL REASONING (Presentation → Diagnosis)

**Major deficiencies:**
- The diagnostic label of ""acute tendonitis"" is poorly justified. A 23-year-old post-marathon runner presenting with Achilles pain is more likely experiencing **tendinopathy** (degenerative/reactive) rather than true inflammatory tendonitis — modern evidence (Cook & Purdam, 2009) has largely moved away from the ""itis"" terminology
- The reported symptom of **tingling** is neurological in nature and is **atypical** for Achilles tendon p",0,0.112,0.246,0.06,0,0.14,0.1,0.22,0.16,0.1,0.2899,900.3467849,896.239585,907.5106686
mistral_tiny,A6_fixed_rank_lora,Full method with fixed uniform LoRA rank (r=16) — isolates benefit of dynamic rank allocation,A6_fixed_rank_lora,43.31555719,0.150069084,0.030427484,0.083199174,0.770475686,0.709339976,0.738432765,"# MSK Physiotherapy Clinical Case Study Evaluation

## Dimension-by-Dimension Analysis

---

### 1. CLINICAL REASONING (Presentation → Diagnosis)

**Weaknesses identified:**
- There is a **temporal inconsistency**: the patient background states a **2-month history** of Achilles tendinopathy, yet the examination findings contradict this with a **1-week history**. This is a significant logical error that undermines diagnostic credibility.
- The case study is **incomplete** — it cuts off mid-sentence (""She had been running on...""), leaving the clinical reasoning unfinished.
- No differential diag",0,0.136,0.298,0.06,0,0.18,0.08,0.3,0.22,0.14,0.3245,900.2314579,897.6860766,909.380761
meditron_phi4mini,A0_teacher_baseline,Fine-tuned teacher only — no distillation or refinement,A0_teacher_baseline,4.411232404,0.14819137,0.032830651,0.079641628,0.781146646,0.711332142,0.743902802,"# Clinical Case Study Evaluation: Achilles Tendinopathy

## Preliminary Observation

Before proceeding with full evaluation, I note that the case study provided is **incomplete**. The submission contains only the Introduction and Patient Information sections. Critical clinical components including subjective history, objective examination findings, special tests, diagnosis rationale, treatment plan, and outcome measures are **absent**. I will evaluate what has been presented across each dimension accordingly.

---

## Dimension-by-Dimension Analysis

---

### 1. CLINICAL REASONING
*Is the logi",0.22,0.398,0.28,0,0,0.224,0.38,0.14,0.28,0.1,0.3682,1621.431458,1618.567727,1642.347623
meditron_phi4mini,A1_distill_only,Distillation only — no Phase 3 refinement,A1_distill_only,55.08026472,0.153943154,0.029200008,0.09035892,0.758991838,0.679253161,0.716176331,"# MSK Physiotherapy Clinical Case Study Evaluation

## Dimension 1: CLINICAL REASONING

**Presentation → Diagnosis Logic:**

The case presents a 55-year-old female receptionist with a 2-year history of heel pain and Achilles tendon pain, with a confirmed heel spur (calcaneal enthesophyte). The occupational history (prolonged standing/sitting as receptionist) and training load (2 hours/day, 3x/week gym) are relevant contextual factors that could contribute to Achilles tendinopathy and insertional pathology.

**Weaknesses:**
- No differential diagnosis process is documented (e.g., ruling out ins",0.1,0.202,0.14,0,0,0.1,0.14,0.06,0.28,0.06,0.2838,714.5227558,712.9070715,721.8161876
qwq_qwen1.5b,A2_rl_task_accuracy,KD + RL with task accuracy reward (no teacher agreement),A2_rl_task_accuracy,83.57085886,0.170139797,0.027764806,0.077258628,0.759608924,0.726313472,0.742472947,"# MSK Physiotherapy Case Study Evaluation

## Condition: Achilles Tendon | 16-year-old Female with Recurrent Lower Leg Pain

---

## 1. CLINICAL REASONING

**Significant errors and inconsistencies identified:**

- **Critical Error – Wrong Special Test:** The **Lachman test** is a knee ligament assessment for the **anterior cruciate ligament (ACL)** — it has **no diagnostic relevance** to Achilles tendon pathology. The appropriate test would be the **Thompson/Simmonds test** (calf squeeze test) for Achilles tendon rupture, or **Royal London Hospital test** for tendinopathy.
- **Diagnostic Misma",0,0.32,0.12,0.342,0,0.2,0.196,0.06,0.28,0.1,0.3107,1125.510974,1123.034721,1130.819877
qwq_qwen1.5b,A0_teacher_baseline,Fine-tuned teacher only — no distillation or refinement,A0_teacher_baseline,9.276078819,0.155856516,0.035637708,0.08208324,0.775498986,0.715581298,0.743375838,"# MSK Physiotherapy Clinical Case Study Evaluation

## Achilles Tendinopathy – Expert Analysis

---

## 1. CLINICAL REASONING – Presentation → Diagnosis

### Strengths:
- The gradual onset narrative is **clinically appropriate** for chronic tendinopathy (as opposed to acute rupture)
- Correct identification of **morning stiffness improving with activity** – a hallmark ""warm-up phenomenon"" consistent with tendinopathy pathophysiology
- Activity-related pain (stairs, uneven surfaces) aligns logically with **load-dependent tendon pain**
- Occupational context (construction worker) appropriately i",0.24,0.48,0.3,0.2,0.08,0,0.12,0,0.5,0.14,0.3649,3654.516581,3439.698571,4167.149661
qwq_qwen1.5b,A1_distill_only,Distillation only — no Phase 3 refinement,A1_distill_only,10.3188849,0.171702933,0.029228116,0.078449271,0.757502437,0.725165009,0.740840375,"# MSK Physiotherapy Clinical Case Evaluation
## Achilles Tendinopathy – Sarah Smith, Age 54

---

## 1. CLINICAL REASONING

### Strengths:
- The presentation has some relevant features consistent with Achilles tendinopathy (chronic pain, stiffness, activity-related pain, tenderness over the tendon, crepitus)
- Age and activity history (running, tennis) are appropriate risk factors
- The bilateral nature is noted

### Weaknesses:
- **Critical anatomical error**: ""Palpable thickening at insertion of fibularis muscle"" — the fibularis (peroneal) is anatomically distinct from the Achilles tendon co",0.208,0.312,0.18,0.22,0.06,0,0.14,0,0.44,0.16,0.318,1262.782305,1260.882082,1281.037966
qwq_qwen1.5b,A3_dynamic_ranks_no_rl,"KD + dynamic LoRA ranks, no RL",A3_dynamic_ranks_no_rl,17.23438286,0.178834889,0.028248259,0.080191927,0.767182112,0.726030052,0.745965719,"# MSK Physiotherapy Clinical Case Study Evaluation

## Dimensional Analysis

---

### 1. CLINICAL REASONING – Presentation → Diagnosis Logic

**Strengths:**
- The case establishes relevant risk factors: young athletic male, elevated BMI, high-demand recreational sports (basketball, soccer, running)
- Chronicity (6 months progressive) appropriately points toward tendinopathy rather than acute pathology
- Functional limitations (stairs, uneven surfaces, prolonged loading) are consistent with Achilles tendon dysfunction

**Weaknesses/Gaps:**
- **Red flag insufficiently explored:** The neurologica",0.236,0.36,0.28,0.22,0.08,0,0.16,0,0.44,0.18,0.3422,1148.096917,1146.444079,1152.424091
qwq_qwen1.5b,A4_kd_guidance_rl,KD + RL + dynamic ranks + teacher KD guidance (no agreement reward),A4_kd_guidance_rl,9.86242554,0.189603259,0.037079227,0.087809132,0.77700603,0.733748794,0.754651189,"# MSK Physiotherapy Clinical Case Evaluation: Achilles Tendonitis

## Preliminary Observations

Before scoring each dimension, I'll note that the case study appears **incomplete** — the assessment section ends abruptly at ""5. Reflexes:"" with no content, and there is no treatment plan or outcome measures section provided. This significantly impacts the evaluation.

---

## Dimension-by-Dimension Analysis

### 1. CLINICAL REASONING – Presentation → Diagnosis

**Strengths:**
- The gradual onset narrative is consistent with tendinopathy/tendonitis etiology
- Aggravating factors (prolonged standing",0.366,0,0,0.228,0.14,0.4,0.26,0.24,0.22,0.1,0.3522,1291.216538,1330.020149,1347.534641
qwq_qwen1.5b,A5_full_pipeline,Full method: KD + hybrid KD+RL + dynamic ranks + agreement reward,A5_full_pipeline,9.689276647,0.185899528,0.033870663,0.08440947,0.768775463,0.72562921,0.746507466,"# MSK Physiotherapy Clinical Case Study Evaluation

## Dimension-by-Dimension Analysis

---

### 1. CLINICAL REASONING (Presentation → Diagnosis)

**Significant concerns identified:**

- The case describes a **sudden, severe Achilles tendon injury** during basketball with inability to bear weight — this clinical picture is highly suspicious for **Achilles tendon rupture**, yet no formal diagnosis is reached or stated
- The pain is localised to the **insertion point (enthesis)** at the calcaneus, which is more consistent with **insertional Achilles tendinopathy or avulsion**, rather than the mo",0.18,0.324,0.12,0.14,0.14,0.08,0.144,0.2,0,0,0.3027,1300.420262,1315.627269,1327.576449
qwq_qwen1.5b,A6_fixed_rank_lora,Full method with fixed uniform LoRA rank (r=16) — isolates benefit of dynamic rank allocation,A6_fixed_rank_lora,11.18887386,0.187740989,0.03360921,0.086320743,0.765469193,0.726484418,0.745362878,"# MSK Physiotherapy Clinical Case Evaluation: Achilles Tendinopathy

---

## 1. CLINICAL REASONING

**Strengths:**
- The presentation is broadly consistent with chronic Achilles tendinopathy: a 45-year-old female, recreational tennis player (repetitive loading), morning stiffness, pain worse after exercise, and pain at the insertion site on palpation
- The reduction in activity level as a response to pain is a clinically relevant and realistic detail
- Insertion site pain is correctly identified and distinguished implicitly from mid-portion tendinopathy

**Weaknesses:**
- The diagnosis of ""chr",0.1,0,0.14,0.08,0.2,0,0.418,0.28,0.28,0.22,0.3322,1147.995026,1146.204575,1150.582632
